genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",2bLqfJjuC5syrsgDsZfGmn,Shock Value,2007-01-01,86,179120
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Gold Digger,"Kanye West, Jamie Foxx",1PS1QMdUqOal0ai3Gt7sDQ,Late Registration,2005-08-30,80,207626
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Wind It Up,Gwen Stefani,1GeECVH4Msg1zLm8DExkbH,The Sweet Escape,2006-01-01,56,189586
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Imma Be,Black Eyed Peas,5OiLJ8tjUPFiPX2gVM8fxJ,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,2,257560
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,I Know You Want Me (Calle Ocho),Pitbull,6a8GbQIlV8HBUW3c6Uk9PH,Pitbull Starring In Rebelution,2009-10-23,63,237120
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,All About Tonight,Pixie Lott,1Fx9aiORwv0cx5mFEBasHo,Young Foolish Happy (Deluxe Edition),2011-01-01,54,186173
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Good Girl,Alexis Jordan,7spFEoLxDv20MEg9paKaQ5,Alexis Jordan,2011,0,236400
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Hush Hush,Alexis Jordan,752wMzkVSWytdnSelJtzHK,Alexis Jordan,2011,0,222440
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Beat Again - Radio Edit,JLS,426vBhxw4upEf11BqBBgs0,JLS,2009-11-09,59,199160
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Mama Do The Hump,Rizzle Kicks,7ajnitQVYIKKXFaVUZOSEW,Stereo Typical,2011-01-01,58,216013
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Down With The Trumpets,Rizzle Kicks,1Fxp4LBWsNC58NwnGAXJld,Stereo Typical,2011-01-01,59,186851
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,3,Britney Spears,6pymOcrCnMuCWdgGVTvUgP,The Singles Collection,2009-11-09,63,213173
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Piece of Me,Britney Spears,2EvwLVrnYbCZEG6Kx5DCRy,Blackout,2007-10-25,66,212106
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,"1, 2 Step (feat. Missy Elliott)","Ciara, Missy Elliott",7uKcScNXuO3MWw6LowBjW1,Goodies,2004-09-27,75,203786
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Bottoms Up (feat. Nicki Minaj),"Trey Songz, Nicki Minaj",4AYX69oFP3UOS1CFmV9UfO,"Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,72,242013
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop",0UaMYEvWZi0ZqiDOoHU3YI,The Cookbook,2005-07-04,68,226863
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,E.T.,"Katy Perry, Kanye West",1CUk09iecf4kLvLuhxerdS,Teenage Dream: The Complete Confection,2012-01-01,65,229573
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Get Ur Freak On,Missy Elliott,6zsk6uF3MxfIeHPlubKBvR,Miss E... So Addictive,2001-05-14,70,211120
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Tambourine,Eve,1U16aNzvnlfARgjWXjKmQj,Tambourine,2007-01-01,67,192440
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Bomb Intro / Pass That Dutch,Missy Elliott,1MaI6NwdrqnE3mRzOYTpoo,This Is Not a Test!,2003-11-01,61,217200
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Lip Gloss,Lil Mama,1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss (Main Version),2007-03-06,62,219773
